County,Population
Hennepin County,"1,245,837"
Ramsey County,"544,442"
Dakota County,"421,453"
Anoka County,"350,253"
Washington County,"255,938"
St. Louis County,"199,759"
Stearns County,"158,452"
Olmsted County,"154,809"
Scott County,"145,275"
Wright County,"134,438"
Carver County,"101,949"
Sherburne County,"94,463"
Blue Earth County,"66,795"
Rice County,"66,185"
Crow Wing County,"64,217"
Clay County,"63,446"
Otter Tail County,"58,195"
Chisago County,"55,315"
Winona County,"50,725"
Beltrami County,"46,403"
Goodhue County,"46,246"
Itasca County,"45,141"
Kandiyohi County,"42,841"
Benton County,"40,129"
Mower County,"39,807"
Isanti County,"39,430"
Douglas County,"37,513"
Steele County,"36,683"
McLeod County,"35,832"
Carlton County,"35,633"
Becker County,"34,011"
Nicollet County,"33,954"
Morrison County,"33,064"
Polk County,"31,521"
Freeborn County,"30,463"
Cass County,"29,268"
Pine County,"29,223"
Le Sueur County,"28,242"
Mille Lacs County,"25,865"
Lyon County,"25,758"
Brown County,"25,163"
Todd County,"24,494"
Meeker County,"23,105"
Nobles County,"21,734"
Wabasha County,"21,537"
Hubbard County,"21,019"
Fillmore County,"20,949"
Dodge County,"20,669"
Martin County,"19,852"
Waseca County,"18,740"
Houston County,"18,648"
Kanabec County,"16,089"
Aitkin County,"15,834"
Roseau County,"15,361"
Redwood County,"15,261"
Sibley County,"14,892"
Renville County,"14,652"
Pennington County,"14,183"
Faribault County,"13,801"
Wadena County,"13,654"
Koochiching County,"12,515"
Chippewa County,"11,953"
Cottonwood County,"11,299"
Pope County,"11,048"
Watonwan County,"10,972"
Lake County,"10,560"
Jackson County,"9,954"
Yellow Medicine County,"9,814"
Stevens County,"9,789"
Rock County,"9,402"
Marshall County,"9,372"
Swift County,"9,359"
Pipestone County,"9,191"
Clearwater County,"8,821"
Murray County,"8,296"
Lac qui Parle County,"6,719"
Norman County,"6,520"
Wilkin County,"6,291"
Grant County,"5,935"
Lincoln County,"5,677"
Mahnomen County,"5,501"
Cook County,"5,376"
Big Stone County,"4,996"
Kittson County,"4,311"
Red Lake County,"4,015"
Lake of the Woods County,"3,771"
Traverse County,"3,311"
